------------ Data Table File Created By ActiGraph wGT3XBT ActiLife v6.13.4 Firmware v1.9.2 date format dd/MM/yyyy Filter Normal -----------
Serial Number: MOS2D26170079
Start Time 09:00:00
Start Date 20/02/2023
Epoch Period (hh:mm:ss) 00:00:30
Download Time 18:22:07
Download Date 23/02/2023
Current Memory Address: 0
Current Battery Voltage: 4.05     Mode = 61
--------------------------------------------------
Date, Time, Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude
20/02/2023,09:00:00,0,22,0,0,0,0,0,30,0,22
20/02/2023,09:00:30,0,0,0,0,0,0,0,30,0,0
20/02/2023,09:01:00,0,10,0,0,0,0,0,30,0,10
20/02/2023,09:01:30,191,652,311,4,0,0,3,27,0,747.2
20/02/2023,09:02:00,31,294,246,2,0,0,24,6,0,384.59
20/02/2023,09:02:30,0,0,2,0,0,0,28,2,0,2
20/02/2023,09:03:00,0,12,16,0,0,0,22,8,0,20
20/02/2023,09:03:30,73,487,502,2,0,0,10,20,0,703.21
20/02/2023,09:04:00,320,583,741,12,0,0,30,0,0,995.68
20/02/2023,09:04:30,693,725,707,20,0,0,30,0,0,1227.08
20/02/2023,09:05:00,283,798,431,11,0,0,30,0,0,950.08
20/02/2023,09:05:30,18,109,29,0,0,0,14,16,0,114.22
20/02/2023,09:06:00,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:06:30,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:07:00,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:07:30,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:08:00,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:08:30,0,12,0,0,0,0,30,0,0,12
20/02/2023,09:09:00,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:09:30,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:10:00,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:10:30,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:11:00,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:11:30,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:12:00,0,0,0,0,0,30,0,0,0,0
20/02/2023,09:12:30,0,0,0,0,0,30,0,0,0,0
20/02/2023,09:13:00,0,32,4,0,0,0,10,20,0,32.25
20/02/2023,09:13:30,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:14:00,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:14:30,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:15:00,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:15:30,0,16,5,0,0,0,21,9,0,16.76
20/02/2023,09:16:00,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:16:30,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:17:00,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:17:30,0,14,4,0,0,0,27,3,0,14.56
20/02/2023,09:18:00,0,0,0,0,0,0,20,10,0,0
20/02/2023,09:18:30,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:19:00,0,61,16,0,0,0,30,0,0,63.06
20/02/2023,09:19:30,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:20:00,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:20:30,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:21:00,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:21:30,0,44,28,0,0,0,30,0,0,52.15
20/02/2023,09:22:00,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:22:30,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:23:00,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:23:30,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:24:00,0,0,0,0,0,0,30,0,0,0
20/02/2023,09:24:30,11,71,0,0,0,0,5,25,0,71.85
20/02/2023,09:25:00,0,0,0,0,0,0,0,30,0,0
20/02/2023,09:25:30,0,0,0,0,0,0,0,30,0,0
20/02/2023,09:26:00,0,0,0,0,0,0,0,30,0,0
20/02/2023,09:26:30,0,0,0,0,0,0,0,30,0,0
20/02/2023,09:27:00,0,0,0,0,0,0,0,30,0,0
20/02/2023,09:27:30,0,0,0,0,0,0,0,30,0,0
20/02/2023,09:28:00,0,0,0,0,0,0,0,30,0,0
20/02/2023,09:28:30,0,0,0,0,0,0,0,30,0,0
20/02/2023,09:29:00,10,9,12,1,0,0,0,30,0,18.03
20/02/2023,09:29:30,0,0,0,0,0,0,0,30,0,0
20/02/2023,09:30:00,0,0,2,0,0,0,0,30,0,2
20/02/2023,09:30:30,3,0,2,0,0,0,0,30,0,3.61
